domain,url,issue_type,details
perio-implant.com,https://www.perio-implant.com/join-study-club/,Missing H1,Page is missing an H1 tag or it is empty.
perio-implant.com,https://www.perio-implant.com/bone-grafting/,Missing Image Alt,Image missing alt attribute.
perio-implant.com,https://www.perio-implant.com/wp-content/uploads/kimowitz_img_44.jpg,Missing Title,Page is missing a <title> tag or it is empty.
perio-implant.com,https://www.perio-implant.com/wp-content/uploads/kimowitz_img_44.jpg,Missing Meta Description,Page is missing a meta description.
perio-implant.com,https://www.perio-implant.com/wp-content/uploads/kimowitz_img_44.jpg,Missing H1,Page is missing an H1 tag or it is empty.
perio-implant.com,https://www.perio-implant.com/wp-content/uploads/kimowitz_img_44.jpg,Missing Canonical,Page is missing a canonical link tag.
perio-implant.com,https://www.perio-implant.com/our-advantage/,Missing H1,Page is missing an H1 tag or it is empty.
perio-implant.com,https://www.perio-implant.com/postcovidvideo,Missing Meta Description,Page is missing a meta description.
perio-implant.com,https://www.perio-implant.com/are-porcelain-crowns-right-for-you/,Missing Meta Description,Page is missing a meta description.
perio-implant.com,https://www.perio-implant.com/surgical-pocket-reduction/,Missing Image Alt,Image missing alt attribute.
perio-implant.com,https://www.perio-implant.com/surgical-pocket-reduction/,Missing Image Alt,Image missing alt attribute.
perio-implant.com,https://www.perio-implant.com/safety-and-infection-control-protocols/,Missing Meta Description,Page is missing a meta description.
perio-implant.com,https://www.perio-implant.com/register/,Title Length,Title tag length is 8 characters.
perio-implant.com,https://www.perio-implant.com/register/,Missing Meta Description,Page is missing a meta description.
perio-implant.com,https://www.perio-implant.com/register/,Missing H1,Page is missing an H1 tag or it is empty.
perio-implant.com,https://www.perio-implant.com/calendar-study-club/,Title Length,Title tag length is 8 characters.
perio-implant.com,https://www.perio-implant.com/calendar-study-club/,Missing Meta Description,Page is missing a meta description.
perio-implant.com,https://www.perio-implant.com/calendar-study-club/,Missing H1,Page is missing an H1 tag or it is empty.
perio-implant.com,https://www.perio-implant.com/about-us/smile-gallery/,Missing H1,Page is missing an H1 tag or it is empty.
perio-implant.com,https://www.perio-implant.com/periodontialclinicalcaseshare,NoIndex Tag,"Page has a 'noindex' meta tag, preventing search engine indexing."
perio-implant.com,https://www.perio-implant.com/periodontialclinicalcaseshare,Title Length,Title tag length is 73 characters.
perio-implant.com,https://www.perio-implant.com/periodontialclinicalcaseshare,Missing Meta Description,Page is missing a meta description.
perio-implant.com,https://www.perio-implant.com/periodontialclinicalcaseshare,Missing Canonical,Page is missing a canonical link tag.
perio-implant.com,https://www.perio-implant.com/periodontialclinicalcaseshare,Multiple H1 Tags,Page has 2 H1 tags.
perio-implant.com,https://www.perio-implant.com/accessibility-statement/,Missing H1,Page is missing an H1 tag or it is empty.
perio-implant.com,https://www.perio-implant.com/perio-study-club/,Missing Meta Description,Page is missing a meta description.
perio-implant.com,https://www.perio-implant.com/perio-study-club/,Missing H1,Page is missing an H1 tag or it is empty.
perio-implant.com,https://www.perio-implant.com/about-study-club/,Title Length,Title tag length is 5 characters.
perio-implant.com,https://www.perio-implant.com/about-study-club/,Missing Meta Description,Page is missing a meta description.
perio-implant.com,https://www.perio-implant.com/about-study-club/,Missing H1,Page is missing an H1 tag or it is empty.
perio-implant.com,https://www.perio-implant.com/periodontal-regeneration/,Missing Image Alt,Image missing alt attribute.
perio-implant.com,https://www.perio-implant.com/periodontal-regeneration/,Missing Image Alt,Image missing alt attribute.
perio-implant.com,https://www.perio-implant.com/dental-treatments-for-sleep-apnea/,Missing Meta Description,Page is missing a meta description.
perio-implant.com,https://www.perio-implant.com/login/,Title Length,Title tag length is 5 characters.
perio-implant.com,https://www.perio-implant.com/login/,Missing Meta Description,Page is missing a meta description.
perio-implant.com,https://www.perio-implant.com/login/,Missing H1,Page is missing an H1 tag or it is empty.
perio-implant.com,https://www.perio-implant.com/wp-content/uploads/kimowitz_img_149.jpg,Missing Title,Page is missing a <title> tag or it is empty.
perio-implant.com,https://www.perio-implant.com/wp-content/uploads/kimowitz_img_149.jpg,Missing Meta Description,Page is missing a meta description.
perio-implant.com,https://www.perio-implant.com/wp-content/uploads/kimowitz_img_149.jpg,Missing H1,Page is missing an H1 tag or it is empty.
perio-implant.com,https://www.perio-implant.com/wp-content/uploads/kimowitz_img_149.jpg,Missing Canonical,Page is missing a canonical link tag.
lexingtonparkdentist.com,https://www.lexingtonparkdentist.com/page-sitemap.xml,Missing Title,Page is missing a <title> tag or it is empty.
lexingtonparkdentist.com,https://www.lexingtonparkdentist.com/page-sitemap.xml,Missing Meta Description,Page is missing a meta description.
lexingtonparkdentist.com,https://www.lexingtonparkdentist.com/page-sitemap.xml,Missing H1,Page is missing an H1 tag or it is empty.
lexingtonparkdentist.com,https://www.lexingtonparkdentist.com/page-sitemap.xml,Missing Canonical,Page is missing a canonical link tag.
advanceddentalquincy.com,https://www.advanceddentalquincy.com/snap-on-smile-quincy-ma/,Missing Image Alt,Image missing alt attribute.
sitwelldental.com,https://www.sitwelldental.com/doctor-sitemap.xml,Missing Title,Page is missing a <title> tag or it is empty.
sitwelldental.com,https://www.sitwelldental.com/doctor-sitemap.xml,Missing Meta Description,Page is missing a meta description.
sitwelldental.com,https://www.sitwelldental.com/doctor-sitemap.xml,Missing H1,Page is missing an H1 tag or it is empty.
sitwelldental.com,https://www.sitwelldental.com/doctor-sitemap.xml,Missing Canonical,Page is missing a canonical link tag.
sitwelldental.com,https://www.sitwelldental.com/post-sitemap.xml,Missing Title,Page is missing a <title> tag or it is empty.
sitwelldental.com,https://www.sitwelldental.com/post-sitemap.xml,Missing Meta Description,Page is missing a meta description.
sitwelldental.com,https://www.sitwelldental.com/post-sitemap.xml,Missing H1,Page is missing an H1 tag or it is empty.
sitwelldental.com,https://www.sitwelldental.com/post-sitemap.xml,Missing Canonical,Page is missing a canonical link tag.
